상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220811885350,아이보리,,I1,숙박,I101,일반 숙박,I10103,펜션,I55104,민박업,11,서울특별시,11170,용산구,11170650,이태원1동,1117013000,이태원동,1117013000101280015,1,대지,128,15.0,서울특별시 용산구 이태원동 128-15,111704106127,서울특별시 용산구 보광로59길,10,,1117013000101280015009763,,서울특별시 용산구 보광로59길 10,140865,4391,,,,126.993505706614,37.5340386219303
MA010120220802888049,기승전牛우,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11110,종로구,11110530,사직동,1111011400,내자동,1111011400101720001,1,대지,172,1.0,서울특별시 종로구 내자동 172-1,111104100135,서울특별시 종로구 사직로8길,15,3.0,1111011400101720001028524,,서울특별시 종로구 사직로8길 15-3,110054,3169,,1,,126.970476692862,37.5749494184575
MA010120220808176530,합정숯불갈비,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11440,마포구,11440680,합정동,1144012200,합정동,1144012200103870005,1,대지,387,5.0,서울특별시 마포구 합정동 387-5,114404139507,서울특별시 마포구 월드컵로3길,31,5.0,1144012200103870005012815,,서울특별시 마포구 월드컵로3길 31-5,121885,4025,,1,,126.911052118598,37.5500881429277
MA010120220809571017,변호사백승미법률사무소,,M1,과학·기술,M103,법무관련 ,M10301,변호사,M71101,변호사업,11,서울특별시,11710,송파구,11710642,문정2동,1171010800,문정동,1171010800106510010,1,대지,651,10.0,서울특별시 송파구 문정동 651-10,117103350849,서울특별시 송파구 법원로,92,,1171010800103390000000001,파트너스1,서울특별시 송파구 법원로 92,138888,5855,,2,,127.121194402856,37.4837005762632
MA010120220808063743,꾸어구어,,I2,음식,I201,한식,I20111,횟집,I56114,한식 해산물 요리 전문점,11,서울특별시,11320,도봉구,11320700,방학2동,1132010600,방학동,1132010600106420028,1,대지,642,28.0,서울특별시 도봉구 방학동 642-28,113204127080,서울특별시 도봉구 도당로19길,19,,1132010600106420028002374,,서울특별시 도봉구 도당로19길 19,132844,1348,,1,,127.039126322252,37.6679195256519
MA010120220807905098,플레이팩토수학교습소,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,11,서울특별시,11590,동작구,11590660,대방동,1159010800,대방동,1159010800105010000,1,대지,501,,서울특별시 동작구 대방동 501,115903118028,서울특별시 동작구 여의대방로,250,,1159010800105010000005235,대림아파트,서울특별시 동작구 여의대방로 250,156761,6943,,3,,126.924618406713,37.507327040319
MA010120220800268268,신도OA,,N1,시설관리·임대,N111,산업용품 대여,N11102,컴퓨터/사무기기 대여업,N76320,컴퓨터 및 사무용 기계ㆍ장비 임대업,11,서울특별시,11170,용산구,11170530,남영동,1117010400,갈월동,1117010400100510002,1,대지,51,2.0,서울특별시 용산구 갈월동 51-2,111704106057,서울특별시 용산구 두텁바위로1길,50,,1117010400100510002000040,,서울특별시 용산구 두텁바위로1길 50,140804,4335,,1,,126.97481068048,37.5463257535375
MA010120220814281351,뮤즈의원,,Q1,보건의료,Q102,의원,Q10204,피부/비뇨기과 의원,Q86201,일반의원,11,서울특별시,11140,중구,11140540,회현동,1114012400,충무로1가,1114012400100250005,1,대지,25,5.0,서울특별시 중구 충무로1가 25-5,111403101011,서울특별시 중구 퇴계로,97,,1114012400100250005019980,,서울특별시 중구 퇴계로 97,100706,4535,,3,,126.982547382568,37.5609593565434
MA010120220802173210,모아부동산공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1120011500103210017,1,대지,321,17.0,서울특별시 성동구 성수동2가 321-17,112004109355,서울특별시 성동구 성수이로7길,34,,1120011500103210017005541,,서울특별시 성동구 성수이로7길 34,133827,4781,,1,,127.053770376035,37.5420815011677
MA010120220803750206,에버레저,,N1,시설관리·임대,N110,가정용품 대여,N11001,스포츠/레크리에이션 용품 대여업,N76210,스포츠 및 레크리에이션 용품 임대업,11,서울특별시,11215,광진구,11215810,광장동,1121510400,광장동,1121510400101480011,1,대지,148,11.0,서울특별시 광진구 광장동 148-11,112153000002,서울특별시 광진구 아차산로,634,,1121510400101480011024674,대오빌딩,서울특별시 광진구 아차산로 634,143802,4969,,4,,127.108308861223,37.5489907733315
MA010120220812914468,빽다방구산역점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11380,은평구,11380560,구산동,1138010500,구산동,1138010500100010015,1,대지,1,15.0,서울특별시 은평구 구산동 1-15,113803111006,서울특별시 은평구 연서로,129,,1138010500100010015029658,좌측호,서울특별시 은평구 연서로 129,122819,3412,,1,,126.916688383878,37.6104768451556
MA010120220804099168,소문난참숯구이닭발,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,11,서울특별시,11710,송파구,11710632,가락2동,1171010700,가락동,1171010700101890007,1,대지,189,7.0,서울특별시 송파구 가락동 189-7,117104169132,서울특별시 송파구 문정로11길,13,,1171010700101890007005942,,서울특별시 송파구 문정로11길 13,138812,5782,,,,127.134237019463,37.4934984463885
MA010120220813713894,크린토피아도봉,,S2,수리·개인,S209,세탁,S20901,세탁소,S96912,가정용 세탁업,11,서울특별시,11320,도봉구,11320512,창2동,1132010700,창동,1132010700106300024,1,대지,630,24.0,서울특별시 도봉구 창동 630-24,113204127102,서울특별시 도봉구 도봉로110라길,70,17.0,1132010700106300024016807,,서울특별시 도봉구 도봉로110라길 70-17,132921,1462,,1,,127.035373849657,37.6423688514924
MA010120220809207621,오프스튜디오,,M1,과학·기술,M109,기술 서비스,M10901,건축 설계 및 관련 서비스업,M72111,건축 설계 및 관련 서비스업,11,서울특별시,11170,용산구,11170685,한남동,1117013100,한남동,1117013100107580033,1,대지,758,33.0,서울특별시 용산구 한남동 758-33,111704106215,서울특별시 용산구 우사단로10길,87,,1117013100107580033005678,오프스튜디오,서울특별시 용산구 우사단로10길 87,140911,4408,,1,,127.000237589955,37.5321016479606
MA010120220813385524,지에스25묵동,제일점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11260,중랑구,11260630,묵2동,1126010400,묵동,1126010400102500039,1,대지,250,39.0,서울특별시 중랑구 묵동 250-39,112604118103,서울특별시 중랑구 동일로143길,24,,1126010400102500039032336,,서울특별시 중랑구 동일로143길 24,131853,2013,,1,,127.077247086737,37.6053543408841
MA010120220813679579,지쿠터,,G2,소매,G203,모터사이클 소매,G20301,모터사이클 및 부품 소매업,G47911,전자상거래 소매 중개업,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1121510300105470008,1,대지,547,8.0,서울특별시 광진구 구의동 547-8,112154112003,서울특별시 광진구 강변역로4길,68,,1121510300105470008009826,리젠트오피스텔,서울특별시 광진구 강변역로4길 68,143709,5116,,8,,127.092604115271,37.5325969318539
MA010120220803658149,롯데백화점샘에델만,영등포점,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,11,서울특별시,11560,영등포구,11560515,영등포본동,1156010100,영등포동,1156010100106180496,1,대지,618,496.0,서울특별시 영등포구 영등포동 618-496,115603000028,서울특별시 영등포구 경인로,846,,1156010100106180501000001,영등포롯데백화점,서울특별시 영등포구 경인로 846,150899,7306,,5,,126.907665657018,37.5156673130525
MA010120220812186580,홍콩반점0410신정네거리역점,,I2,음식,I202,중식,I20201,중국집,I56121,중식 음식점업,11,서울특별시,11470,양천구,11470620,신정1동,1147010100,신정동,1147010100110320010,1,대지,1032,10.0,서울특별시 양천구 신정동 1032-10,114703005068,서울특별시 양천구 중앙로,254,,1147010100110320010004138,,서울특별시 양천구 중앙로 254,158071,8082,,2,,126.853658574917,37.5191717077437
MA010120220804223807,지원파트너스건축사사무소주,,M1,과학·기술,M109,기술 서비스,M10901,건축 설계 및 관련 서비스업,M72111,건축 설계 및 관련 서비스업,11,서울특별시,11650,서초구,11650530,서초3동,1165010800,서초동,1165010800115970002,1,대지,1597,2.0,서울특별시 서초구 서초동 1597-2,116503121014,서울특별시 서초구 사임당로,28,,1165010800115970002021921,나이스빌딩,서울특별시 서초구 사임당로 28,137876,6651,,,,127.013184095349,37.4877444557172
MA010120220804203885,남궁야오리,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11650,서초구,11650610,방배2동,1165010100,방배동,1165010100104510006,1,대지,451,6.0,서울특별시 서초구 방배동 451-6,116504163165,서울특별시 서초구 방배천로4안길,10,,1165010100104510006025093,명칭없음,서울특별시 서초구 방배천로4안길 10,137818,6692,,,,126.983380597713,37.4784636328203
MA010120220810251143,타카라,,I2,음식,I203,일식,I20301,일식 회/초밥,I56122,일식 음식점업,11,서울특별시,11680,강남구,11680545,압구정동,1168010700,신사동,1168010700106590000,1,대지,659,,서울특별시 강남구 신사동 659,116804166525,서울특별시 강남구 압구정로48길,15,,1168010700106590000009760,대원칸타빌,서울특별시 강남구 압구정로48길 15,135897,6018,,1,,127.037242778974,37.5275276981538
MA010120220812471895,다이나핏롯데관악점,백화점,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47419,기타 의복 소매업,11,서울특별시,11620,관악구,11620525,보라매동,1162010100,봉천동,1162010100107290022,1,대지,729,22.0,서울특별시 관악구 봉천동 729-22,116204160384,서울특별시 관악구 보라매로3길,31,,1162010100107290022000029,보라매롯데캐슬,서울특별시 관악구 보라매로3길 31,151707,8708,,5,,126.925087570509,37.4905506054514
MA010120220806625053,에이에이치이엔씨,,M1,과학·기술,M109,기술 서비스,M10901,건축 설계 및 관련 서비스업,M72111,건축 설계 및 관련 서비스업,11,서울특별시,11680,강남구,11680700,세곡동,1168011200,자곡동,1168011200106490000,1,대지,649,,서울특별시 강남구 자곡동 649,116803122014,서울특별시 강남구 자곡로,174,10.0,1168011200106490000000001,강남에이스타워,서울특별시 강남구 자곡로 174-10,135190,6373,,,,127.103009718486,37.4726714587369
MA010120220700009278,경희궁삼성마취통증의학과의원,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,11,서울특별시,11410,서대문구,11410565,충현동,1141010100,충정로2가,1141010100100020002,1,대지,2,2.0,서울특별시 서대문구 충정로2가 2-2,114103000008,서울특별시 서대문구 통일로,135,,1141010100100020002030829,충정빌딩,서울특별시 서대문구 통일로 135,120721,3735,,2,,126.965454423419,37.5664246403469
MA010120220700004173,수미상회,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,채소; 과실 및 뿌리작물 소매업,11,서울특별시,11680,강남구,11680521,논현1동,1168010800,논현동,1168010800101450016,1,대지,145,16.0,서울특별시 강남구 논현동 145-16,116804166805,서울특별시 강남구 학동로4길,35,,1168010800101450016008520,,서울특별시 강남구 학동로4길 35,135825,6114,,1,,127.023977934571,37.5091776989989
MA010120220700020351,보라매삼성정형외과의원,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,11,서울특별시,11590,동작구,11590680,신대방2동,1159010900,신대방동,1159010900103950069,1,대지,395,69.0,서울특별시 동작구 신대방동 395-69,115904157219,서울특별시 동작구 보라매로5가길,16,,1159010900103950069000692,보라매아카데미타워,서울특별시 동작구 보라매로5가길 16,156713,7071,,4,,126.924103022482,37.4913338534189
MA010120220700012577,금천삼성본정형외과의원,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,11,서울특별시,11545,금천구,11545670,시흥1동,1154510300,시흥동,1154510300109940009,1,대지,994,9.0,서울특별시 금천구 시흥동 994-9,115452005010,서울특별시 금천구 시흥대로,225,,1154510300109940009004400,,서울특별시 금천구 시흥대로 225,153864,8632,,5,,126.900463291435,37.4537892366083
MA010120220805192884,브라카주,코리아,M1,과학·기술,M115,기타 전문 과학,M11504,사업/무형 재산권 중개업,M73903,사업 및 무형 재산권 중개업,11,서울특별시,11410,서대문구,11410615,연희동,1141011700,연희동,1141011700101680000,1,대지,168,,서울특별시 서대문구 연희동 168,114104136288,서울특별시 서대문구 연희로36길,27,,1141011700101680000017751,삼성빌라,서울특별시 서대문구 연희로36길 27,120826,3718,,5,,126.937418657147,37.5782972310054
MA010120220806756439,해봄음악교습소,,P1,교육,P106,기타 교육,P10609,음악학원,P85621,음악학원,11,서울특별시,11680,강남구,11680720,일원본동,1168011400,일원동,1168011400107390000,1,대지,739,,서울특별시 강남구 일원동 739,116804166070,서울특별시 강남구 광평로10길,50,,1168011400107390000003101,청솔빌리지,서울특별시 강남구 광평로10길 50,135941,6363,,1,,127.083246865725,37.4810664221002
MA010120220812818076,피피렌탈,,N1,시설관리·임대,N110,가정용품 대여,N11001,스포츠/레크리에이션 용품 대여업,N76210,스포츠 및 레크리에이션 용품 임대업,11,서울특별시,11410,서대문구,11410615,연희동,1141011700,연희동,1141011700101690014,1,대지,169,14.0,서울특별시 서대문구 연희동 169-14,114103112019,서울특별시 서대문구 연희로,251,,1141011700101690014018959,,서울특별시 서대문구 연희로 251,120827,3660,,1,,126.935878002559,37.5794947260984
MA010120220806783378,하이24은평뉴타운점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11380,은평구,11380690,진관동,1138011400,진관동,1138011400100220000,1,대지,22,,서울특별시 은평구 진관동 22,113803111011,서울특별시 은평구 진관3로,67,,1138011400100400023000002,구파발삼성래미안9단지,서울특별시 은평구 진관3로 67,122739,3301,,1,,126.9209352953,37.6427621143153
MA010120220800631541,시크릿헤어,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,11,서울특별시,11305,강북구,11305534,삼양동,1130510100,미아동,1130510100107913449,1,대지,791,3449.0,서울특별시 강북구 미아동 791-3449,113053108002,서울특별시 강북구 솔매로,2,,1130510100107913449033676,,서울특별시 강북구 솔매로 2,142823,1180,,1,,127.012585265186,37.6249934698281
MA010120220800168282,호텔스카이파크명동지점,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,11,서울특별시,11140,중구,11140550,명동,1114010500,을지로2가,1114010500101950008,1,대지,195,8.0,서울특별시 중구 을지로2가 195-8,111404103164,서울특별시 중구 명동9길,22,,1114010500101950008019443,,서울특별시 중구 명동9길 22,100845,4538,,,,126.985047903875,37.564933094213
